,DOB,Height,Name,Reach,Stance,Weight
0,26-08-1994,66,Gabriel Silva,71, Orthodox,135
0,20-09-1989,72,Aalon Cruz,78, Switch,145
0,05-11-1986,66,Davi Ramos,70, Orthodox,155
0,17-07-1976,79,Sean McCorkle,81, Orthodox,265
0,28-02-1991,72,Glaico Franca,77,,155
0,15-11-1979,73,Dylan Andrews,73, Switch,185
0,17-10-1984,75,Luke Rockhold,77, Southpaw,205
0,21-03-1985,73,John Salter,74, Southpaw,185
0,23-08-1983,68,Joe Brammer,0, Orthodox,155
0,19-08-1988,66,Gina Mazany,68, Southpaw,135
0,25-02-1991,63,Rachael Ostovich,62, Orthodox,125
0,16-11-1989,76,Chase Sherman,78, Orthodox,250
0,05-04-1979,61,Benji Radach,0, Orthodox,185
0,07-01-1984,69,Caros Fodor,76, Orthodox,155
0,31-05-1977,68,Koji Oishi,0, Orthodox,170
0,23-04-1980,61,Josh Bryant,0, Orthodox,185
0,22-10-1980,68,Henry Briones,69,,135
0,31-10-1969,66,Jason Reinhardt,0, Orthodox,135
0,09-02-1992,72,Darko Stosic,76, Orthodox,205
0,05-08-1973,66,Sean Sherk,67, Orthodox,155
0,13-11-1989,61,Abubakar Nurmagomedov,72, Orthodox,170
0,19-01-1989,69,Dustin Poirier,72, Southpaw,155
0,0,61,Rudyard Moncayo,0, Orthodox,195
0,31-12-1970,75,Kevin Jordan,0, Orthodox,245
0,11-08-1986,69,Artem Lobov,65, Southpaw,145
0,0,74,Trent Jenkins,0,,185
0,09-08-1971,74,Kerry Schall,0, Orthodox,265
0,20-09-1988,61,Khabib Nurmagomedov,70, Orthodox,155
0,05-08-1982,61,Pete Sell,75, Orthodox,170
0,24-02-1965,73,Bas Rutten,0, Orthodox,205
0,17-12-1983,61,John Cholish,72, Orthodox,155
0,10-06-1983,77,Walt Harris,77, Southpaw,250
0,0,73,Nate Schroeder,0,,230
0,22-01-1994,68,Arnold Allen,70, Southpaw,145
0,19-12-1989,72,Jack Marshman,73, Orthodox,185
0,18-08-1973,61,Marcus Aurelio,74, Orthodox,155
0,02-10-1978,73,Matt Horwich,0, Orthodox,185
0,04-08-1987,61,Oluwale Bamgbose,78, Switch,185
0,03-03-1983,69,Nate Mohr,72, Orthodox,155
0,02-08-1991,74,Tanner Boser,75, Orthodox,255
0,25-01-1977,67,Jorge Gurgel,69, Orthodox,155
0,01-03-1979,69,Gerald Strebendt,0, Orthodox,155
0,0,75,Chase Gormley,0, Orthodox,265
0,25-06-1987,68,Rob Font,71, Orthodox,135
0,22-03-1972,72,Houston Alexander,72, Orthodox,205
0,30-01-1981,61,Rob Kimmons,73, Orthodox,185
0,29-11-1979,61,Costas Philippou,73, Orthodox,185
0,09-02-1987,64,Henry Cejudo,64, Orthodox,135
0,10-12-1975,78,Jon Olav Einemo,0, Orthodox,253
0,08-06-1971,69,Marvin Eastman,73, Orthodox,185
0,04-04-1979,61,Dale Hartt,69, Orthodox,155
0,09-11-1982,74,Chris Price,0, Southpaw,185
0,11-04-1991,64,Kailin Curran,65, Orthodox,115
0,11-02-1989,66,Andrea Lee,69, Orthodox,125
0,22-03-1985,74,Mike Jackson,0, Orthodox,170
0,22-07-1986,68,Cain Carrizosa,74, Orthodox,155
0,01-03-1988,72,Devin Powell,73, Orthodox,155
0,20-05-1988,75,Scott Askham,75, Southpaw,185
0,05-07-1986,79,Maurice Greene,80,,258
0,29-07-1973,75,Branden Lee Hinkle,0, Orthodox,235
0,02-10-1980,73,Ed Herman,77, Orthodox,205
0,17-10-1989,61,Charles Oliveira,74, Orthodox,155
0,04-08-1989,63,Milana Dudieva,61, Orthodox,135
0,06-09-1986,61,Tarec Saffiedine,70, Switch,170
0,29-08-1989,61,Joey Gomez,71, Orthodox,155
0,0,80,Paul Varelans,0, Orthodox,300
0,25-04-1992,65,Rogerio Bontorin,67, Orthodox,125
0,19-07-1987,76,Jon Jones,84, Orthodox,205
0,19-09-1989,74,Volkan Oezdemir,75, Orthodox,205
0,11-03-1986,69,Tommy Hayden,72, Southpaw,145
0,12-01-1978,61,Dave Galera,0, Orthodox,135
0,0,80,Rafael Carino,0, Orthodox,245
0,05-01-1968,75,Kimo Leopoldo,0, Orthodox,235
0,06-05-1989,61,Beneil Dariush,72, Southpaw,155
0,31-10-1988,61,Myles Jury,73, Orthodox,145
0,18-10-1993,72,Anthony Hernandez,75, Orthodox,185
0,12-09-1983,69,Johny Hendricks,69, Southpaw,185
0,0,65,David Velasquez,0, Orthodox,145
0,11-11-1991,68,Diego Rivas,69, Orthodox,145
0,10-06-1988,73,Jack Hermansson,77, Orthodox,185
0,07-08-1988,69,Adam Yandiev,74, Orthodox,185
0,22-07-1982,68,Mark Hominick,68, Orthodox,145
0,22-06-1963,73,Randy Couture,75, Orthodox,205
0,18-07-1984,61,Ben Askren,73, Orthodox,170
0,05-05-1981,75,Steve Steinbeiss,75, Orthodox,185
0,17-09-1982,65,Scott Jorgensen,66, Orthodox,135
0,28-12-1984,61,Matt Bessette,70, Orthodox,145
0,30-06-1972,75,Fabiano Scherner,0, Orthodox,257
0,14-05-1982,72,Tom DeBlass,75, Orthodox,185
0,14-12-1987,73,Caio Magalhaes,73, Orthodox,185
0,14-03-1984,61,Jimmy Wallhead,73, Orthodox,170
0,21-12-1987,73,Brad Tavares,74, Orthodox,185
0,25-06-1983,72,Marcelo Guimaraes,73, Orthodox,185
0,22-09-1979,63,Fredy Serrano,65, Orthodox,125
0,15-04-1967,61,Enson Inoue,0, Orthodox,210
0,19-08-1987,66,Jon Delos Reyes,67, Orthodox,125
0,08-04-1987,69,Rocky Lee,68, Orthodox,145
0,10-03-1976,72,Sean Pierson,76, Southpaw,170
0,11-10-1990,68,Sheymon Moraes,72, Orthodox,145
0,22-02-1995,72,Michal Oleksiejczuk,74, Southpaw,205
0,27-02-1991,73,Sean Strickland,76, Orthodox,170
0,09-08-1990,74,Shamil Gamzatov,76, Orthodox,205
0,0,69,Dieusel Berto,0,,200
0,25-12-1982,72,Rafael Natal,76, Orthodox,185
0,17-05-1970,72,Matt Lindland,74, Southpaw,185
0,10-04-1982,77,Magnus Cedenblad,79, Orthodox,185
0,0,69,Chris Liguori,0, Orthodox,185
0,26-04-1965,75,Sam Adkins,0, Orthodox,225
0,0,76,Scott Fiedler,0, Orthodox,235
0,01-04-1977,72,Vitor Belfort,74, Southpaw,185
0,22-07-1971,66,Joao Roque,0, Orthodox,155
0,23-03-1991,72,Yuri Villefort,73, Orthodox,170
0,05-04-1992,68,Said Nurmagomedov,70, Orthodox,135
0,28-07-1982,73,Cain Velasquez,77, Orthodox,240
0,20-08-1988,61,Emil Meek,74, Switch,170
0,26-10-1988,67,Joey Gambino,0, Orthodox,145
0,31-01-1985,65,Shunichi Shimizu,66, Orthodox,135
0,0,73,Igor Zinoviev,0, Orthodox,199
0,07-03-1992,75,Nikita Krylov,77, Orthodox,205
0,09-03-1985,68,Dominick Cruz,68, Orthodox,135
0,18-12-1985,68,Davey Grant,69,,135
0,28-05-1983,76,Aaron Rosa,78, Orthodox,205
0,24-12-1975,68,Samy Schiavo,0, Orthodox,155
0,0,72,Mario Neto,0, Orthodox,229
0,30-03-1989,66,Shana Dobson,69,,125
0,03-12-1971,72,Vernon White,0, Southpaw,205
0,27-10-1989,67,Julio Arce,70, Southpaw,145
0,13-12-1980,72,Garett Whiteley,72, Orthodox,155
0,01-10-1979,68,Jerrod Sanders,72, Orthodox,135
0,23-12-1985,66,Joanne Calderwood,65, Orthodox,125
0,24-07-1985,72,Bubba Bush,73, Orthodox,185
0,07-03-1988,65,Valentina Shevchenko,66, Southpaw,125
0,20-03-1984,75,Goran Reljic,81, Southpaw,205
0,22-07-1989,76,Israel Adesanya,80, Switch,185
0,03-02-1991,69,Damir Ismagulov,70, Orthodox,155
0,16-03-1984,61,Jared Cannonier,77, Switch,185
0,0,61,Kevin Jackson,0, Switch,199
0,26-05-1964,69,Brad Kohler,0, Orthodox,220
0,0,72,Steve Nelmark,0, Orthodox,240
0,25-11-1981,73,Mauricio Rua,76, Orthodox,205
0,20-08-1984,61,Tommy Speer,71, Orthodox,170
0,25-09-1980,65,Iliarde Santos,66, Orthodox,125
0,22-12-1986,61,Norman Parke,70,,155
0,04-12-1991,61,Max Holloway,69, Orthodox,145
0,06-10-1984,63,Anna Elmose,65, Orthodox,115
0,31-08-1972,61,Solomon Hutcherson,0, Southpaw,185
0,14-05-1974,61,Alex Andrade,0, Orthodox,200
0,26-09-1991,75,Tom Breese,73, Southpaw,185
0,11-11-1985,69,Leandro Silva,72, Orthodox,155
0,26-01-1982,68,Rafaello Oliveira,71, Orthodox,155
0,03-07-1983,61,Danny Abbadi,0, Orthodox,155
0,24-07-1978,61,Nathan Coy,69, Southpaw,170
0,04-11-1980,67,Brian Geraghty,0, Orthodox,155
0,14-04-1987,66,Sarah Frota,69, Southpaw,125
0,16-04-1976,69,Phil Baroni,72, Orthodox,170
0,08-03-1987,62,Seohee Ham,62, Southpaw,115
0,12-10-1987,72,Omari Akhmedov,73, Orthodox,185
0,20-09-1984,75,Quinn Mulhern,76, Orthodox,155
0,07-09-1994,67,Larissa Pacheco,69, Orthodox,135
0,12-10-1989,73,Collin Hart,76, Orthodox,185
0,13-04-1988,78,Luke Barnatt,77, Orthodox,185
0,18-12-1983,69,Roland Delorme,71, Orthodox,135
0,29-03-1994,63,Cristina Stanciu,64, Orthodox,115
0,09-10-1986,61,Blagoy Ivanov,73, Southpaw,250
0,09-02-1978,72,Mark Munoz,72, Orthodox,185
0,17-07-1982,69,Marcus LeVesseur,70, Southpaw,155
0,0,61,Wes Albritton,0, Orthodox,188
0,0,72,Mark Hall,0, Orthodox,190
0,07-03-1983,61,Steve Kennedy,71, Orthodox,170
0,25-05-1986,69,Jeremy Stephens,71, Orthodox,145
0,14-12-1991,65,Heili Alateng,66, Orthodox,135
0,20-02-1979,61,Phillip Miller,0, Orthodox,185
0,28-11-1988,76,Mike Rodriguez,82, Southpaw,205
0,28-07-1987,61,Darrell Horcher,70, Southpaw,155
0,13-06-1992,68,Suman Mokhtarian,72, Orthodox,145
0,13-02-1990,72,Dan Hooker,75, Switch,155
0,16-04-1986,72,Pat Audinwood,0, Orthodox,155
0,22-09-1986,61,Mike de la Torre,71, Orthodox,145
0,27-03-1978,69,Nick Serra,0, Orthodox,170
0,08-06-1993,61,Carlo Pedersoli,75, Southpaw,170
0,24-06-1991,74,Brian Camozzi,78, Orthodox,170
0,14-06-1997,69,Naoki Inoue,71, Orthodox,125
0,09-02-1984,73,James Head,73, Orthodox,170
0,29-01-1994,64,Mallory Martin,63, Orthodox,115
0,07-11-1980,69,Ivan Jorge,73, Orthodox,155
0,0,73,Joe Charles,0, Southpaw,260
0,27-11-1968,76,Colin Robinson,0, Orthodox,243
0,04-11-1977,68,Kelly Dullanty,0, Orthodox,155
0,06-01-1993,66,Matheus Nicolau,66,,125
0,0,73,Jim Mullen,0, Southpaw,215
0,19-05-1983,69,John Maguire,69, Southpaw,155
0,16-01-1992,78,Don'Tale Mayes,81, Orthodox,260
0,04-10-1985,67,Jocelyn Jones-Lybarger,64, Orthodox,115
0,20-12-1975,75,Nandor Guelmino,76,,230
0,25-03-1989,61,Ben Wall,73, Orthodox,155
0,01-08-1995,69,Ricardo Ramos,72, Orthodox,135
0,08-05-1984,72,Felipe Silva,77, Orthodox,155
0,23-07-1982,72,Sergio Moraes,72, Orthodox,170
0,0,69,Bob Cook,0, Orthodox,170
0,02-12-1973,61,Laverne Clark,0, Orthodox,170
0,0,75,Brian Johnston,0, Orthodox,230
0,02-06-1978,61,Roan Carneiro,74, Orthodox,170
0,24-08-1970,61,Dan Henderson,74, Orthodox,185
0,14-11-1982,69,Stephen Bass,0,,145
0,14-07-1973,74,Mostapha Al-Turk,77, Orthodox,245
0,24-01-1990,72,Oskar Piechota,76, Southpaw,185
0,29-03-1983,73,Donald Cerrone,73, Orthodox,155
0,0,69,Nick Sanzo,0,,190
0,01-02-1982,69,Chris Tickle,0,,155
0,24-04-1984,69,Germaine de Randamie,71, Orthodox,135
0,15-11-1989,73,Josh Shockley,74, Orthodox,155
0,09-12-1981,61,Stanislav Nedkov,71, Orthodox,205
0,07-02-1965,74,Tra Telligman,0, Orthodox,233
0,12-04-1983,69,Rob Whiteford,69, Southpaw,145
0,26-08-1967,72,Oleg Taktarov,0, Orthodox,210
0,31-12-1986,74,Chance Rencountre,75, Southpaw,170
0,16-12-1988,65,Nicco Montano,65, Southpaw,135
0,18-02-1980,73,Jimi Manuwa,79, Orthodox,205
0,30-10-1986,74,Adlan Amagov,76, Orthodox,170
0,25-05-1983,66,Ulysses Gomez,66, Orthodox,125
0,10-06-1970,63,Alfonso Alcarez,0,,145
0,21-03-1997,73,Fares Ziam,75, Orthodox,155
0,06-02-1977,61,Vik Grujic,73, Orthodox,170
0,08-11-1976,61,Justin James,0, Orthodox,155
0,17-05-1975,76,Cheick Kongo,82, Orthodox,240
0,12-08-1986,64,Pearl Gonzalez,68, Orthodox,115
0,13-08-1989,64,Weili Zhang,63, Switch,115
0,17-04-1986,67,Jumabieke Tuerxun,67, Orthodox,135
0,06-06-1979,61,David Bielkheden,71, Orthodox,155
0,19-12-1986,72,Yorgan De Castro,74, Orthodox,250
0,14-04-1975,74,Anderson Silva,77, Southpaw,185
0,28-06-1989,61,Johnny Case,72, Orthodox,155
0,0,0,Sam Fulton,0,,0
0,29-11-1983,75,James Hammortree,0, Orthodox,185
0,27-09-1986,61,Ryan McGillivray,0,,170
0,17-03-1980,73,Fabio Maldonado,75, Orthodox,205
0,19-12-1991,61,Rostem Akman,72, Switch,170
0,11-01-1987,72,Peter Sobotta,75, Southpaw,170
0,27-07-1978,72,Drew McFedries,72, Southpaw,185
0,17-07-1975,61,Yuki Kondo,0, Southpaw,183
0,24-05-1979,75,Frank Mir,79, Southpaw,264
0,0,66,Lowell Anderson,0, Orthodox,160
0,20-04-1984,66,Tyson Griffin,68, Orthodox,145
0,15-07-1990,75,Viktor Pesta,77, Orthodox,240
0,16-01-1985,75,Hyun Gyu Lim,77, Orthodox,170
0,28-09-1981,61,Sammy Morgan,0, Orthodox,170
0,30-07-1993,69,Devonte Smith,76, Orthodox,155
0,25-08-1989,65,Ryan Benoit,68, Orthodox,125
0,25-09-1984,75,Jake O'Brien,76, Orthodox,205
0,0,65,Townsend Saunders,0, Orthodox,170
0,16-09-1968,75,Roberto Traven,0, Orthodox,227
0,16-06-1977,61,Rich Attonito,72, Orthodox,170
0,14-08-1978,69,Derrick Noble,0, Southpaw,170
0,06-05-1982,61,Luiz Dutra,71, Orthodox,170
0,08-11-1989,66,Jordan Espinosa,69, Orthodox,125
0,09-05-1983,76,Tim Hague,76, Orthodox,260
0,20-05-1973,61,Steve Berger,0, Orthodox,170
0,20-12-1964,73,Mark Coleman,75, Orthodox,205
0,0,0,Saeed Hosseini,0,,0
0,31-01-1983,61,Konstantin Erokhin,73, Orthodox,230
0,26-06-1992,61,Hannah Cifers,62, Orthodox,115
0,04-06-1996,64,Carlos Huachin,67, Southpaw,135
0,19-12-1981,74,Luke Zachrich,74, Orthodox,185
0,01-03-1989,69,Wuliji Buren,69, Orthodox,135
0,05-09-1960,80,Emmanuel Yarborough,0, Open Stance,770
0,12-02-1984,61,Tony Ferguson,76, Orthodox,155
0,01-04-1988,61,Ramsey Nijem,75, Orthodox,155
0,29-06-1981,73,Mike Whitehead,0, Orthodox,205
0,17-12-1979,72,David Loiseau,76, Orthodox,185
0,05-08-1980,61,Daniel Roberts,74, Southpaw,170
0,25-11-1979,67,Richard Crunkilton,0, Orthodox,155
0,20-07-1986,61,Gilbert Burns,71, Orthodox,170
0,22-08-1983,72,Justin Buchholz,73, Orthodox,155
0,15-07-1993,72,Khalid Murtazaliev,76, Orthodox,185
0,01-08-1985,74,Gegard Mousasi,76, Orthodox,185
0,07-03-1982,75,Jared Hamman,75, Orthodox,185
0,12-11-1982,78,Kendall Grove,79, Orthodox,185
0,01-09-1980,68,Mike Pierce,70, Orthodox,170
0,0,0,Jack McGlaughlin,0, Orthodox,0
0,21-02-1983,69,Paul Daley,76, Orthodox,170
0,25-03-1982,72,Rory Markham,71, Orthodox,170
0,02-09-1986,61,Enrique Marin,74,,170
0,25-01-1943,61,Ron van Clief,0, Orthodox,190
0,28-08-1997,65,Chanmi Jeon,67, Orthodox,115
0,11-07-1988,69,Kron Gracie,70, Southpaw,145
0,19-11-1987,68,Aiemann Zahabi,68, Orthodox,135
0,24-04-1981,74,Luiz Cane,77, Southpaw,185
0,03-10-1989,65,Sirwan Kakai,66, Orthodox,135
0,26-03-1971,72,Tony Fryklund,0, Orthodox,185
0,14-07-1976,65,Alberto Crane,0, Orthodox,155
0,0,69,Rick Davis,0, Orthodox,155
0,30-03-1994,72,Khaos Williams,77, Orthodox,170
0,22-06-1996,61,Jesus Pinedo,0,,155
0,25-09-1989,72,Rodolfo Vieira,73, Orthodox,185
0,0,72,Scott Adams,0, Southpaw,225
0,01-10-1992,69,Alexander Hernandez,72, Orthodox,155
0,28-07-1970,68,Fabiano Iha,0, Orthodox,155
0,27-08-1980,61,Amir Sadollah,74, Orthodox,170
0,07-05-1973,69,Lodune Sincaid,0, Orthodox,185
0,16-11-1983,69,Benson Henderson,70, Southpaw,170
0,25-10-1978,63,Alex Chambers,63,,115
0,18-05-1992,64,Hannah Goldy,61, Orthodox,125
0,0,67,Paul Rodriguez,0, Orthodox,155
0,18-05-1979,74,Gabriel Gonzaga,76, Orthodox,242
0,23-11-1965,73,Don Frye,0, Orthodox,219
0,0,72,Curt Warburton,73, Orthodox,155
0,01-05-1989,69,David Teymur,73, Southpaw,155
0,08-02-1974,74,Kevin Ferguson,0, Orthodox,235
0,27-10-1991,61,Islam Makhachev,70, Orthodox,155
0,29-07-1974,61,Dave Menne,0, Orthodox,170
0,08-06-1985,61,Takenori Sato,71, Southpaw,170
0,30-03-1959,77,Gerard Gordeau,0, Orthodox,216
0,24-10-1988,79,Alexander Volkov,80, Orthodox,250
0,23-07-1986,67,Kalindra Faria,0, Switch,125
0,08-10-1978,61,Roger Hollett,70, Orthodox,205
0,28-06-1978,73,Justin Eilers,0, Orthodox,235
0,24-04-1984,66,Nick Hein,66, Southpaw,155
0,26-04-1984,73,Cole Miller,74, Orthodox,145
0,05-07-1993,75,Luis Pena,75, Southpaw,155
0,27-02-1991,61,Junyong Park,73, Orthodox,185
0,08-12-1974,73,Dante Rivera,0, Southpaw,185
0,25-04-1979,67,Alexandre Ferreira,0, Orthodox,205
0,19-07-1986,72,Elvis Mutapcic,72, Orthodox,185
0,23-07-1987,73,John Hathaway,75, Orthodox,170
0,31-10-1980,67,Waylon Lowe,0, Southpaw,145
0,12-11-1982,74,Thiago Silva,74, Orthodox,205
0,01-05-1988,66,Anistavio Medeiros,0, Orthodox,145
0,16-03-1990,64,Bruno Silva,65, Orthodox,135
0,04-09-1978,61,Roman Mitichyan,0, Orthodox,170
0,08-08-1988,61,Damon Jackson,71, Switch,145
0,12-03-1968,61,Chris Sanford,0, Orthodox,185
0,28-08-1996,65,Carls John De Tomas,71, Southpaw,125
0,05-03-1976,80,Tim Sylvia,80, Orthodox,265
0,12-10-1963,79,Koji Kitao,0, Southpaw,350
0,0,61,Asbel Cancio,0,,225
0,29-08-1983,79,Vinicius Queiroz,0,,220
0,10-10-1989,72,Jordan Mein,73, Orthodox,170
0,22-06-1988,73,Markus Perez,73, Orthodox,185
0,0,0,Tom Blackledge,0,,205
0,02-03-1992,68,Hunter Azure,69, Orthodox,135
0,24-03-1983,61,Brandon Melendez,0, Southpaw,155
0,31-07-1991,67,Thomas Almeida,70, Southpaw,135
0,0,61,Ernie Verdicia,0, Orthodox,199
0,01-01-1976,67,Eiji Mitsuoka,0, Southpaw,145
0,02-05-1990,76,Alex Nicholson,81, Orthodox,185
0,28-02-1979,73,Michael Bisping,75, Orthodox,185
0,03-06-1975,75,Jason MacDonald,80, Orthodox,185
0,15-12-1981,64,Ning Guangyou,64, Southpaw,145
0,04-09-1994,61,Humberto Bandenay,71, Southpaw,145
0,05-02-1990,61,Nah-Shon Burrell,73, Orthodox,170
0,14-04-1981,80,Jack May,79, Switch,255
0,31-01-1987,66,Renan Barao,70, Orthodox,145
0,02-07-1991,68,Hakeem Dawodu,73, Orthodox,145
0,17-03-1988,76,Jairzinho Rozenstruik,78, Orthodox,242
0,07-11-1978,75,Joachim Christensen,76, Orthodox,205
0,09-03-1989,64,Karine Gevorgyan,63,,125
0,29-11-1984,69,Shane Nelson,70, Southpaw,155
0,16-07-1994,61,Manny Bermudez,71, Orthodox,145
0,11-04-1989,73,Dominic Waters,79, Orthodox,170
0,0,69,Roland Payne,0, Orthodox,205
0,26-12-1989,76,Dominick Reyes,77, Southpaw,205
0,14-08-1987,72,Colton Smith,71, Orthodox,155
0,05-08-1988,61,Ian Heinisch,72, Orthodox,185
0,21-04-1991,73,Paulo Costa,72,,185
0,12-12-1985,61,Tristan Connelly,68, Orthodox,170
0,20-06-1965,74,Mike van Arsdale,0, Switch,205
0,13-03-1982,67,Lina Lansberg,65, Orthodox,135
0,0,61,Tai Bowden,0,,230
0,19-07-1982,65,Raphael Assuncao,66, Orthodox,135
0,22-09-1982,74,Paul Georgieff,0, Orthodox,170
0,28-12-1995,74,Brendan Allen,75, Orthodox,185
0,16-01-1996,68,Luigi Vendramini,0, Orthodox,170
0,03-11-1981,61,Steve Bruno,0, Orthodox,170
0,02-09-1981,75,Shamil Abdurakhimov,76, Orthodox,235
0,23-01-1975,75,Tito Ortiz,74, Orthodox,205
0,04-08-1980,69,Iuri Alcantara,71, Southpaw,135
0,21-01-1987,67,Matthew Lopez,69, Southpaw,135
0,22-08-1994,66,Joseph Morales,69, Switch,125
0,19-03-1982,64,Maia Stevenson,62, Orthodox,115
0,19-09-1987,61,Lewis Gonzalez,73, Orthodox,170
0,01-12-1988,72,Richard Walsh,73,,170
0,0,73,Geza Kalman,0,,200
0,16-11-1989,67,Yusuke Kasuya,67, Southpaw,155
0,10-07-1994,61,Austin Lingo,70, Orthodox,145
0,25-01-1981,61,Paulo Thiago,73, Orthodox,170
0,03-06-1992,66,Vernon Ramos,72, Orthodox,170
0,0,80,Gerry Harris,0, Orthodox,270
0,19-11-1984,74,Josh Stansbury,74,,205
0,10-01-1981,72,Matt Brown,75, Orthodox,170
0,0,73,Houston Dorr,0, Orthodox,210
0,0,61,Brian Cobb,0, Orthodox,155
0,11-11-1989,66,Yana Kunitskaya,68, Orthodox,135
0,26-02-1968,61,John Lober,0, Orthodox,199
0,26-11-1974,68,Richie Hightower,0, Orthodox,170
0,0,72,Johnny Rhodes,0, Orthodox,210
0,25-03-1990,61,Stevie Ray,70, Southpaw,155
0,13-02-1993,66,Liu Pingyuan,72, Orthodox,135
0,0,69,John Campetella,0, Orthodox,235
0,0,61,Dwayne Cason,0, Orthodox,212
0,21-10-1965,69,Gil Castillo,0, Southpaw,170
0,02-08-1988,68,Magomed Mustafaev,71, Orthodox,155
0,03-10-1983,69,Thiago Alves,70, Orthodox,170
0,16-08-1989,61,Tecia Torres,60, Orthodox,115
0,20-04-1991,61,Kyle Nelson,71, Switch,155
0,12-09-1977,75,Lee Murray,0, Orthodox,185
0,13-05-1979,66,Fredson Paixao,66, Orthodox,145
0,28-06-1982,73,DaMarques Johnson,75, Orthodox,170
0,17-07-1982,78,Travis Browne,79, Orthodox,255
